Source,Target,Type,Id,Label,Weight
1,35,Directed,1,,1.0
1,14,Directed,1057,,1.0
2,35,Directed,2,,1.0
2,15,Directed,1038,,1.0
3,35,Directed,3,,1.0
3,14,Directed,826,,1.0
4,35,Directed,4,,1.0
4,48,Directed,359,,1.0
4,14,Directed,833,,1.0
5,35,Directed,5,,1.0
5,14,Directed,1031,,1.0
6,35,Directed,6,,1.0
6,39,Directed,141,,1.0
6,14,Directed,1052,,1.0
7,35,Directed,7,,1.0
7,1,Directed,1126,,1.0
8,3,Directed,8,,1.0
8,14,Directed,852,,1.0
9,35,Directed,9,,1.0
9,16,Directed,1023,,1.0
10,5,Directed,10,,1.0
10,34,Directed,829,,1.0
11,34,Directed,11,,1.0
11,40,Directed,101,,1.0
11,15,Directed,983,,1.0
12,35,Directed,12,,1.0
12,34,Directed,207,,1.0
12,48,Directed,849,,1.0
13,34,Directed,14,,1.0
13,36,Directed,13,,1.0
13,41,Directed,171,,1.0
13,15,Directed,924,,1.0
14,7,Directed,15,,1.0
14,48,Directed,362,,1.0
14,5,Directed,950,,1.0
15,8,Directed,16,,1.0
15,9,Directed,1062,,1.0
16,39,Directed,17,,1.0
16,9,Directed,1141,,1.0
17,37,Directed,18,,1.0
17,10,Directed,921,,1.0
18,36,Directed,19,,1.0
18,28,Directed,1033,,1.0
19,36,Directed,20,,1.0
19,12,Directed,990,,1.0
20,32,Directed,21,,1.0
20,10,Directed,1021,,1.0
21,36,Directed,22,,1.0
21,10,Directed,1127,,1.0
22,33,Directed,23,,1.0
22,5,Directed,869,,1.0
23,33,Directed,24,,1.0
23,11,Directed,1149,,1.0
24,33,Directed,25,,1.0
24,11,Directed,1049,,1.0
25,33,Directed,26,,1.0
25,5,Directed,887,,1.0
26,36,Directed,27,,1.0
26,16,Directed,813,,1.0
27,34,Directed,28,,1.0
27,16,Directed,962,,1.0
28,35,Directed,29,,1.0
28,50,Directed,931,,1.0
29,35,Directed,30,,1.0
29,22,Directed,1142,,1.0
30,36,Directed,31,,1.0
30,50,Directed,1100,,1.0
31,35,Directed,32,,1.0
31,22,Directed,974,,1.0
32,36,Directed,33,,1.0
32,50,Directed,900,,1.0
33,34,Directed,34,,1.0
33,16,Directed,1147,,1.0
34,37,Directed,35,,1.0
34,12,Directed,1098,,1.0
34,13,Directed,1099,,1.0
35,38,Directed,36,,1.0
35,15,Directed,988,,1.0
36,38,Directed,37,,1.0
36,19,Directed,1119,,1.0
37,37,Directed,38,,1.0
37,11,Directed,832,,1.0
38,36,Directed,39,,1.0
38,10,Directed,947,,1.0
39,39,Directed,40,,1.0
39,16,Directed,839,,1.0
40,39,Directed,41,,1.0
40,15,Directed,1148,,1.0
41,38,Directed,42,,1.0
41,19,Directed,850,,1.0
42,7,Directed,43,,1.0
42,14,Directed,1106,,1.0
43,3,Directed,44,,1.0
43,11,Directed,893,,1.0
43,36,Directed,894,,1.0
44,3,Directed,45,,1.0
44,5,Directed,391,,1.0
44,16,Directed,1011,,1.0
45,30,Directed,46,,1.0
45,13,Directed,1144,,1.0
46,30,Directed,47,,1.0
46,5,Directed,1020,,1.0
47,31,Directed,48,,1.0
47,48,Directed,1077,,1.0
48,30,Directed,49,,1.0
48,13,Directed,1063,,1.0
49,2,Directed,50,,1.0
49,19,Directed,920,,1.0
50,3,Directed,51,,1.0
